vowel,speaker_1,speaker_2,overlap_coefficient,bhattacharyya_coefficient,hellinger_distance
i,0af9ac47-Audio_SP14,0f786745-Audio_SP20,0.619453489780426,0.8556166887283325,0.3799780405124321
i,0f786745-Audio_SP20,cafd9c21-Audio_SP27,0.6188773512840271,0.855826735496521,0.37970154661718064
i,181d5ce9-Audio_SP21,fcd45f4d-Audio_SP21,0.6187779307365417,0.8617613911628723,0.37180453041501216
i,7aee4437-Audio_SP12,e90f8e4d-Audio_SP22,0.6184998750686646,0.8784950375556946,0.34857561940604137
i,63239054-Audio_SP15,7e277fda-Audio_SP28,0.6184192895889282,0.8759998679161072,0.35213652477965535
i,63239054-Audio_SP15,cafd9c21-Audio_SP27,0.6183972358703613,0.8688170313835144,0.36219189474156593
i,30a90cb2-Audio_SP21,63239054-Audio_SP15,0.6181719899177551,0.876073956489563,0.3520313104120669
i,1c403477-Audio_SP13,1d46eb6e-Audio_SP18,0.6175382137298584,0.8652108907699585,0.36713636326308174
i,2e25304d-Audio_SP12,7e277fda-Audio_SP28,0.6163395643234253,0.8576565980911255,0.37728424550844225
i,2988c6fc-Audio_SP13,5a932187-audio_SP16,0.615793764591217,0.8763628602027893,0.35162073288873436
i,63239054-Audio_SP15,fcd45f4d-Audio_SP21,0.6155878305435181,0.8712096810340881,0.35887368107164375
i,12c532f8-Audio_SP15,501e6487-Audio_SP19,0.6148483157157898,0.856725811958313,0.3785157698718602
i,1c403477-Audio_SP13,fcd45f4d-Audio_SP21,0.6146122813224792,0.8715146780014038,0.35844849281116553
i,30a90cb2-Audio_SP21,7e277fda-Audio_SP28,0.6144792437553406,0.8711853623390198,0.35890756144302705
i,5819ce7a-Audio_SP11,5a932187-audio_SP16,0.6143577098846436,0.872689425945282,0.3568060734554809
i,30a90cb2-Audio_SP21,adad0062-Audio_SP17,0.6141074895858765,0.8464207053184509,0.3918919426086087
i,061ea7d0-Audio_SP16,a452055c-Audio_SP11,0.6132578253746033,0.8704526424407959,0.3599268780727609
i,1d46eb6e-Audio_SP18,7c3c98d2-Audio_SP13,0.6132558584213257,0.869014322757721,0.3619194347396656
i,7aee4437-Audio_SP12,f061152e-Audio_SP12,0.6123043298721313,0.8593499660491943,0.3750333771156984
i,2988c6fc-Audio_SP13,85c7895f-Audio_SP16,0.6121335029602051,0.8877239227294922,0.3350762260598442
i,63239054-Audio_SP15,713a2f9b-Audio_SP16,0.6096599102020264,0.8647269010543823,0.3677949142465372
i,2988c6fc-Audio_SP13,5819ce7a-Audio_SP11,0.6095978021621704,0.878170907497406,0.34904024481797796
i,0e6115f2-Audio_SP19,7e277fda-Audio_SP28,0.6077333092689514,0.8533859848976135,0.38290209597544184
i,adad0062-Audio_SP17,fcd45f4d-Audio_SP21,0.6073569655418396,0.8597022294998169,0.3745634398872681
i,2988c6fc-Audio_SP13,2e25304d-Audio_SP12,0.6072825789451599,0.8791695237159729,0.3476067840017325
i,c3533b36-Audio_SP16,dbeec025-Audio_SP13,0.6058961153030396,0.8650922775268555,0.3672978661429229
i,85c7895f-Audio_SP16,c3533b36-Audio_SP16,0.6057733297348022,0.873921275138855,0.3550756607557677
i,1d46eb6e-Audio_SP18,d4c363bf-Audio_SP13,0.6052588820457458,0.853628933429718,0.38258471816093487
i,1c403477-Audio_SP13,7e277fda-Audio_SP28,0.6049304604530334,0.8634999394416809,0.36945914599359847
i,181d5ce9-Audio_SP21,5a932187-audio_SP16,0.6045787930488586,0.8587846159934998,0.3757863542047532
i,5819ce7a-Audio_SP11,d4c363bf-Audio_SP13,0.6044515371322632,0.8133319020271301,0.4320510363057469
i,63239054-Audio_SP15,85c7895f-Audio_SP16,0.6036813259124756,0.8712911605834961,0.35876014190055155
i,1d46eb6e-Audio_SP18,a1a056ce-Audio_SP11,0.6019376516342163,0.8729149103164673,0.3564899573389589
i,1c403477-Audio_SP13,919b9bc1-Audio_SP14,0.601328432559967,0.8511297106742859,0.3858371279772258
i,12c532f8-Audio_SP15,cafd9c21-Audio_SP27,0.601004421710968,0.864392101764679,0.3682497769657451
i,30a90cb2-Audio_SP21,dbeec025-Audio_SP13,0.6006900072097778,0.8436817526817322,0.3953710248845606
i,5a932187-audio_SP16,fcd45f4d-Audio_SP21,0.6004824638366699,0.8551439046859741,0.3805996522778573
i,5278b5b9-Audio_SP15,c3533b36-Audio_SP16,0.6000277400016785,0.8576297163963318,0.37731986908148396
i,0f786745-Audio_SP20,dbeec025-Audio_SP13,0.5995388031005859,0.8589399456977844,0.3755796244502829
i,061ea7d0-Audio_SP16,1c403477-Audio_SP13,0.5986958146095276,0.859607458114624,0.37468992765402165
i,2988c6fc-Audio_SP13,5278b5b9-Audio_SP15,0.5973314046859741,0.85011225938797,0.38715338124834975
i,0f786745-Audio_SP20,85c7895f-Audio_SP16,0.5967657566070557,0.8608166575431824,0.3730728380046149
i,0e6115f2-Audio_SP19,adad0062-Audio_SP17,0.596513569355011,0.8623154163360596,0.371058733442484
